Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Business processes and support services,VC,19.476092,2012
EU27,EU27,Business processes and support services,VC,40.82998,2013
EU27,EU27,Business processes and support services,VC,62.719213,2014
EU27,EU27,Business processes and support services,VC,116.930148,2015
EU27,EU27,Business processes and support services,VC,167.526514,2016
EU27,EU27,Business processes and support services,VC,289.0860575,2017
EU27,EU27,Business processes and support services,VC,465.1584915,2018
EU27,EU27,Business processes and support services,VC,743.560816,2019
EU27,EU27,Business processes and support services,VC,682.95311,2020
EU27,EU27,Business processes and support services,VC,3161.101432,2021
EU27,EU27,Business processes and support services,VC,3162.1413675000003,2022
EU27,EU27,Business processes and support services,VC,1102.90563,2023
EU27,EU27,Business processes and support services,VC,1467.9025125,2024
EU27,EU27,Business processes and support services,VC,1320.881887,2025
GBR,United Kingdom,Business processes and support services,VC,28.8731595,2012
GBR,United Kingdom,Business processes and support services,VC,6.0904315,2013
GBR,United Kingdom,Business processes and support services,VC,55.4025035,2014
GBR,United Kingdom,Business processes and support services,VC,118.964427,2015
GBR,United Kingdom,Business processes and support services,VC,122.931493,2016
GBR,United Kingdom,Business processes and support services,VC,641.560131,2017
GBR,United Kingdom,Business processes and support services,VC,226.2614085,2018
GBR,United Kingdom,Business processes and support services,VC,350.782053,2019
GBR,United Kingdom,Business processes and support services,VC,551.998815,2020
GBR,United Kingdom,Business processes and support services,VC,515.351475,2021
GBR,United Kingdom,Business processes and support services,VC,860.5697295,2022
GBR,United Kingdom,Business processes and support services,VC,325.6453325,2023
GBR,United Kingdom,Business processes and support services,VC,323.546182,2024
GBR,United Kingdom,Business processes and support services,VC,1237.88113,2025
DEU,Germany,Business processes and support services,VC,6.262721000000001,2012
DEU,Germany,Business processes and support services,VC,10.737285,2013
DEU,Germany,Business processes and support services,VC,35.90637,2014
DEU,Germany,Business processes and support services,VC,11.99194,2015
DEU,Germany,Business processes and support services,VC,48.048053,2016
DEU,Germany,Business processes and support services,VC,120.758933,2017
DEU,Germany,Business processes and support services,VC,225.92109,2018
DEU,Germany,Business processes and support services,VC,352.39378899999997,2019
DEU,Germany,Business processes and support services,VC,212.44715,2020
DEU,Germany,Business processes and support services,VC,1395.627274,2021
DEU,Germany,Business processes and support services,VC,1259.509534,2022
DEU,Germany,Business processes and support services,VC,685.828072,2023
DEU,Germany,Business processes and support services,VC,386.909607,2024
DEU,Germany,Business processes and support services,VC,396.43372899999997,2025
FRA,France,Business processes and support services,VC,3.729537,2012
FRA,France,Business processes and support services,VC,0.8742000000000001,2013
FRA,France,Business processes and support services,VC,2.358797,2014
FRA,France,Business processes and support services,VC,3.986489,2015
FRA,France,Business processes and support services,VC,21.3921485,2016
FRA,France,Business processes and support services,VC,45.826828,2017
FRA,France,Business processes and support services,VC,51.756614,2018
FRA,France,Business processes and support services,VC,89.95285,2019
