Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Other,VC,44.9045215,2012
EU27,EU27,Other,VC,83.4528875,2013
EU27,EU27,Other,VC,102.855415,2014
EU27,EU27,Other,VC,233.6777105,2015
EU27,EU27,Other,VC,401.234099,2016
EU27,EU27,Other,VC,770.585854,2017
EU27,EU27,Other,VC,1481.1665189999999,2018
EU27,EU27,Other,VC,1857.7284685,2019
EU27,EU27,Other,VC,2057.9920095,2020
EU27,EU27,Other,VC,4055.9286625,2021
EU27,EU27,Other,VC,2792.851372,2022
EU27,EU27,Other,VC,1077.9309275,2023
EU27,EU27,Other,VC,1542.2514525,2024
EU27,EU27,Other,VC,497.496937,2025
GBR,United Kingdom,Other,VC,18.598337,2012
GBR,United Kingdom,Other,VC,46.97074,2013
GBR,United Kingdom,Other,VC,75.92320099999999,2014
GBR,United Kingdom,Other,VC,108.8202225,2015
GBR,United Kingdom,Other,VC,209.236683,2016
GBR,United Kingdom,Other,VC,561.5043755,2017
GBR,United Kingdom,Other,VC,788.435198,2018
GBR,United Kingdom,Other,VC,1189.7665345,2019
GBR,United Kingdom,Other,VC,1268.2345105,2020
GBR,United Kingdom,Other,VC,2768.433755,2021
GBR,United Kingdom,Other,VC,3542.136147,2022
GBR,United Kingdom,Other,VC,1283.5374215,2023
GBR,United Kingdom,Other,VC,1564.6512975,2024
GBR,United Kingdom,Other,VC,953.1576514999999,2025
DEU,Germany,Other,VC,4.5,2012
DEU,Germany,Other,VC,15.540923,2013
DEU,Germany,Other,VC,16.732006,2014
DEU,Germany,Other,VC,39.3100705,2015
DEU,Germany,Other,VC,65.623186,2016
DEU,Germany,Other,VC,161.797258,2017
DEU,Germany,Other,VC,417.41519999999997,2018
DEU,Germany,Other,VC,751.377236,2019
DEU,Germany,Other,VC,725.11841,2020
DEU,Germany,Other,VC,1913.957406,2021
DEU,Germany,Other,VC,1056.008979,2022
DEU,Germany,Other,VC,251.145343,2023
DEU,Germany,Other,VC,337.179028,2024
DEU,Germany,Other,VC,129.580554,2025
FRA,France,Other,VC,18.694942,2012
FRA,France,Other,VC,15.241639,2013
FRA,France,Other,VC,14.930447000000001,2014
FRA,France,Other,VC,69.3085785,2015
FRA,France,Other,VC,62.876678,2016
FRA,France,Other,VC,196.47047,2017
FRA,France,Other,VC,264.4956415,2018
FRA,France,Other,VC,352.7540255,2019
FRA,France,Other,VC,454.101113,2020
FRA,France,Other,VC,629.261381,2021
FRA,France,Other,VC,587.3581614999999,2022
FRA,France,Other,VC,441.9162865,2023
FRA,France,Other,VC,611.164821,2024
FRA,France,Other,VC,181.387469,2025
PRT,Portugal,Other,VC,2.4,2013
PRT,Portugal,Other,VC,4.16,2014
PRT,Portugal,Other,VC,17.5,2015
PRT,Portugal,Other,VC,56.468852,2016
PRT,Portugal,Other,VC,50.3182665,2017
PRT,Portugal,Other,VC,364.7721915,2018
PRT,Portugal,Other,VC,14.2156885,2019
PRT,Portugal,Other,VC,9.35881,2020
PRT,Portugal,Other,VC,369.49779,2021
PRT,Portugal,Other,VC,274.761304,2022
PRT,Portugal,Other,VC,6.379504,2023
PRT,Portugal,Other,VC,16.305587,2024
ESP,Spain,Other,VC,4.202756,2012
ESP,Spain,Other,VC,3.4476235,2013
ESP,Spain,Other,VC,11.567593,2014
ESP,Spain,Other,VC,6.956346,2015
ESP,Spain,Other,VC,29.1121215,2016
ESP,Spain,Other,VC,45.547014000000004,2017
ESP,Spain,Other,VC,48.7712915,2018
ESP,Spain,Other,VC,253.1908345,2019
ESP,Spain,Other,VC,151.1887455,2020
ESP,Spain,Other,VC,112.82763800000001,2021
ESP,Spain,Other,VC,164.76184750000002,2022
ESP,Spain,Other,VC,73.504607,2023
ESP,Spain,Other,VC,94.751377,2024
ESP,Spain,Other,VC,58.446214,2025
SWE,Sweden,Other,VC,0.7,2012
SWE,Sweden,Other,VC,3.938181,2013
SWE,Sweden,Other,VC,1.063385,2014
SWE,Sweden,Other,VC,6.195665,2015
SWE,Sweden,Other,VC,32.733724,2016
SWE,Sweden,Other,VC,76.18645599999999,2017
SWE,Sweden,Other,VC,74.538094,2018
SWE,Sweden,Other,VC,61.099617,2019
SWE,Sweden,Other,VC,161.950865,2020
SWE,Sweden,Other,VC,141.696244,2021
SWE,Sweden,Other,VC,150.69194299999998,2022
SWE,Sweden,Other,VC,55.552774,2023
SWE,Sweden,Other,VC,108.005003,2024
IRL,Ireland,Other,VC,5.533542,2012
IRL,Ireland,Other,VC,0.632406,2013
IRL,Ireland,Other,VC,8.506119,2014
IRL,Ireland,Other,VC,4.914482,2015
IRL,Ireland,Other,VC,23.042549,2016
IRL,Ireland,Other,VC,52.223767,2017
IRL,Ireland,Other,VC,80.465493,2018
IRL,Ireland,Other,VC,56.721269,2019
IRL,Ireland,Other,VC,84.057846,2020
IRL,Ireland,Other,VC,111.563827,2021
IRL,Ireland,Other,VC,99.255656,2022
IRL,Ireland,Other,VC,102.00714299999999,2023
IRL,Ireland,Other,VC,120.598073,2024
IRL,Ireland,Other,VC,5.373424,2025
NLD,Netherlands,Other,VC,0.44492,2012
NLD,Netherlands,Other,VC,17.228084,2013
NLD,Netherlands,Other,VC,34.789552,2015
NLD,Netherlands,Other,VC,18.347114,2016
NLD,Netherlands,Other,VC,51.809104,2017
NLD,Netherlands,Other,VC,70.601692,2018
NLD,Netherlands,Other,VC,66.649211,2019
NLD,Netherlands,Other,VC,50.6478775,2020
NLD,Netherlands,Other,VC,164.510963,2021
NLD,Netherlands,Other,VC,85.389123,2022
NLD,Netherlands,Other,VC,4.351983,2023
NLD,Netherlands,Other,VC,50,2024
DNK,Denmark,Other,VC,2.3802345,2012
DNK,Denmark,Other,VC,1,2013
DNK,Denmark,Other,VC,0.85,2014
DNK,Denmark,Other,VC,5.327345,2015
DNK,Denmark,Other,VC,35.033567,2016
DNK,Denmark,Other,VC,19.041383,2017
DNK,Denmark,Other,VC,19.226272,2018
DNK,Denmark,Other,VC,59.482333,2019
DNK,Denmark,Other,VC,82.375499,2020
DNK,Denmark,Other,VC,180.2802085,2021
DNK,Denmark,Other,VC,89.487242,2022
DNK,Denmark,Other,VC,8.991330000000001,2023
AUT,Austria,Other,VC,1.983119,2013
AUT,Austria,Other,VC,5.85,2014
AUT,Austria,Other,VC,34.8,2015
AUT,Austria,Other,VC,26.375319,2016
AUT,Austria,Other,VC,8.653976,2017
AUT,Austria,Other,VC,19.9707,2018
AUT,Austria,Other,VC,54.558149,2019
AUT,Austria,Other,VC,69.7630705,2020
AUT,Austria,Other,VC,145.653296,2021
AUT,Austria,Other,VC,48.050179,2022
AUT,Austria,Other,VC,18.802467,2023
AUT,Austria,Other,VC,67,2024
FIN,Finland,Other,VC,1.15,2012
FIN,Finland,Other,VC,15,2013
FIN,Finland,Other,VC,12,2014
FIN,Finland,Other,VC,6.811415,2015
FIN,Finland,Other,VC,16.492283500000003,2016
FIN,Finland,Other,VC,46.524026,2017
FIN,Finland,Other,VC,30.075667,2018
FIN,Finland,Other,VC,59.319048,2019
FIN,Finland,Other,VC,49.192482,2020
FIN,Finland,Other,VC,41.068874,2021
FIN,Finland,Other,VC,89.756559,2022
FIN,Finland,Other,VC,31.098173000000003,2023
FIN,Finland,Other,VC,16.0040785,2024
FIN,Finland,Other,VC,28,2025
ROU,Romania,Other,VC,1.6153170000000001,2018
ROU,Romania,Other,VC,17.443754000000002,2019
ROU,Romania,Other,VC,2.348178,2020
ROU,Romania,Other,VC,72.5,2021
ROU,Romania,Other,VC,15,2022
ROU,Romania,Other,VC,36,2023
ROU,Romania,Other,VC,60,2024
ROU,Romania,Other,VC,31,2025
ITA,Italy,Other,VC,0.516829,2012
ITA,Italy,Other,VC,2.40191,2013
ITA,Italy,Other,VC,0.58771,2014
ITA,Italy,Other,VC,3.5267965,2015
ITA,Italy,Other,VC,4.546433,2016
ITA,Italy,Other,VC,11.352939,2017
ITA,Italy,Other,VC,32.0757795,2018
ITA,Italy,Other,VC,16.69976,2019
ITA,Italy,Other,VC,66.02287199999999,2020
ITA,Italy,Other,VC,19.775843000000002,2021
ITA,Italy,Other,VC,2.931333,2022
ITA,Italy,Other,VC,10.456382,2023
ITA,Italy,Other,VC,27.979965999999997,2024
ITA,Italy,Other,VC,8.088259,2025
BEL,Belgium,Other,VC,0.408155,2014
BEL,Belgium,Other,VC,1.287254,2015
BEL,Belgium,Other,VC,17.425015,2016
BEL,Belgium,Other,VC,2.648171,2017
BEL,Belgium,Other,VC,8.988713,2018
BEL,Belgium,Other,VC,24.632873,2019
BEL,Belgium,Other,VC,21.770654999999998,2020
BEL,Belgium,Other,VC,13.532188,2021
BEL,Belgium,Other,VC,10.783104,2022
BEL,Belgium,Other,VC,10.719204,2023
BEL,Belgium,Other,VC,16.052227,2024
ISL,Iceland,Other,VC,0.3,2014
ISL,Iceland,Other,VC,2.3499999999999996,2015
ISL,Iceland,Other,VC,3.9,2016
ISL,Iceland,Other,VC,1.5,2017
ISL,Iceland,Other,VC,5,2018
ISL,Iceland,Other,VC,0.838034,2019
ISL,Iceland,Other,VC,20,2020
ISL,Iceland,Other,VC,66.3,2022
CYP,Cyprus,Other,VC,0,2013
CYP,Cyprus,Other,VC,25,2017
CYP,Cyprus,Other,VC,20.476835,2020
CYP,Cyprus,Other,VC,50,2021
CYP,Cyprus,Other,VC,3.2,2024
HUN,Hungary,Other,VC,0.2,2014
HUN,Hungary,Other,VC,2.54,2015
HUN,Hungary,Other,VC,8.288951,2016
HUN,Hungary,Other,VC,0.88168,2017
HUN,Hungary,Other,VC,39.18725,2018
HUN,Hungary,Other,VC,7.521908,2019
HUN,Hungary,Other,VC,22.5,2020
CZE,Czech Republic,Other,VC,6,2012
CZE,Czech Republic,Other,VC,26,2014
CZE,Czech Republic,Other,VC,1.2,2016
CZE,Czech Republic,Other,VC,0.654021,2017
CZE,Czech Republic,Other,VC,7.134015,2020
CZE,Czech Republic,Other,VC,17.058312,2021
CZE,Czech Republic,Other,VC,11,2023
CZE,Czech Republic,Other,VC,0.649665,2025
EST,Estonia,Other,VC,0.199972,2016
EST,Estonia,Other,VC,0.263685,2017
EST,Estonia,Other,VC,2.527987,2018
EST,Estonia,Other,VC,2.7017870000000004,2019
EST,Estonia,Other,VC,8.965768,2020
EST,Estonia,Other,VC,0.943255,2021
EST,Estonia,Other,VC,8.568229,2022
EST,Estonia,Other,VC,7.6,2023
